"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g313.t1.CDS3",31.6552292154871,6.76492181229137,1.35341062774442,4.99842521819538,5.78004142831579e-07,1.53635565465144e-05
"g2383.t1.CDS6",20.9493406356795,5.57620990068304,1.11975227574873,4.97986029718447,6.36301885836412e-07,1.67634576472124e-05
"g2661.t1.CDS1",123.018253920128,2.85367911508006,0.573663301137583,4.97448435244362,6.54215481888141e-07,1.70842060489561e-05
"g571.t1.CDS5",50.1443299539613,3.86877184636823,0.780025497909887,4.95980177152513,7.05651493953419e-07,1.82671695434724e-05
"g2717.t1.CDS6",99.571730641517,4.16890954051508,0.841578247749268,4.95368024502117,7.28228383308779e-07,1.86891025612951e-05
"g1770.t1.CDS1",77.7413478009483,2.52983587097672,0.514019716741795,4.9216708787214,8.58084324542569e-07,2.1833478924472e-05
"g1672.t1.CDS2",57.8261472948787,-2.52589651020942,0.514128569427336,-4.91296663988719,8.97085454471443e-07,2.26324016776397e-05
"g2394.t1.CDS3",103.901510255132,-3.24560830246838,0.661355654293734,-4.90750820892941,9.22407958591818e-07,2.26942850638665e-05
"g2865.t1.CDS1",1326.16434121028,-2.66991114880636,0.543925930452967,-4.90859324647921,9.17320115637926e-07,2.26942850638665e-05
"g831.t1.CDS1",45.1816969345813,2.78502177562298,0.567160702120967,4.91046323415576,9.08614914829983e-07,2.26942850638665e-05
"g17.t1.CDS11",31.9940557240838,-8.71113989161697,1.77688403421196,-4.9024808169208,9.4633858947381e-07,2.30922129578978e-05
"g123.t1.CDS7",17.0815055840087,-4.55247376635771,0.929849884664657,-4.89592335433748,9.78451996468434e-07,2.34907386571494e-05
"g696.t1.CDS1",934.884804409741,-3.87491619569819,0.791218728548701,-4.8974020152503,9.71120310756237e-07,2.34907386571494e-05
"g1067.t1.CDS3",47.5295846247806,-5.42274617518591,1.10821317792409,-4.89323379581521,9.91924535566255e-07,2.35905878783469e-05
"g981.t1.CDS1",24.0160124530312,-3.55046553052457,0.725778361706834,-4.89194183493544,9.98459547420796e-07,2.35905878783469e-05
"g2716.t1.CDS2",25.9309652295198,-4.14142233374793,0.848202596069566,-4.88258625113694,1.04703416463819e-06,2.45434701427394e-05
"g2369.t1.CDS6",269.847190696645,2.59130014740205,0.532614159564151,4.86524832445792,1.143131897748e-06,2.65867473405921e-05
"g381.t1.CDS1",20.175593035275,7.04990672196192,1.4553527003619,4.84412247299835,1.27172473985814e-06,2.93482523299046e-05
"g2019.t1.CDS2",17.1975573011618,4.79815608418227,0.993187228086126,4.83106905575933,1.3580188903594e-06,3.10986325892302e-05
"g1378.t1.CDS2",30.2539978089361,5.69075806635221,1.18121735775679,4.8177060970043,1.45218061642253e-06,3.27510734476506e-05
"g2717.t1.CDS9",81.7102032512389,4.8641591570339,1.0094822372893,4.81846928787507,1.44663788110957e-06,3.27510734476506e-05
"g208.t1.CDS6",19.2782300005043,6.0845061040992,1.26670735109454,4.80340316872852,1.55991343723843e-06,3.49162579147279e-05
"g1613.t1.CDS1",34.9432164987947,3.7337036134653,0.778063375268024,4.79871400215841,1.59687625565536e-06,3.54768702469105e-05
"g881.t1.CDS6",98.5015877987208,5.6085801662269,1.17443886374437,4.77554033621256,1.79225360686373e-06,3.9522511019506e-05
"g2665.t1.CDS1",44.2919000300294,4.69461438392379,0.985313418145654,4.7645899238427,1.8923811026976e-06,4.14236657553733e-05
"g1652.t1.CDS5",30.5980914928405,4.89925679605537,1.0294989933793,4.75887478041501,1.94675154137505e-06,4.23027688954271e-05
"g1016.t1.CDS3",9.98037184648986,-7.52699541284981,1.59584678596772,-4.71661532863599,2.39800461552632e-06,5.13587031685025e-05
"g2540.t1.CDS5",22.2461080793185,3.49057254773228,0.739847869557887,4.71795985547428,2.3822148520135e-06,5.13587031685025e-05
"g2156.t1.CDS4",121.472744934285,5.23831718809625,1.11121107395017,4.71406136142516,2.42827485522039e-06,5.16355303142222e-05
"g1040.t1.CDS1",82.8243666988817,2.15502078906674,0.458785367472971,4.69723086622571,2.63712322657628e-06,5.56788357838126e-05
"g1802.t1.CDS3",17.0488424852211,5.31456822781391,1.13351824480863,4.68855993465827,2.7513433708675e-06,5.69011958606284e-05
"g2229.t1.CDS7",89.7490516882124,-2.43672878948151,0.519726328904866,-4.68848440796915,2.7523588189219e-06,5.69011958606284e-05
"g354.t1.CDS1",26.1976920988577,6.50724965939642,1.38783834995605,4.68876628146388,2.74857089324564e-06,5.69011958606284e-05
"g332.t1.CDS5",10.9924825133048,7.14455012509533,1.5249339124815,4.68515393789696,2.79749595717315e-06,5.74354859620997e-05
"g2303.t1.CDS25",8.89852454695703,-7.44060864379783,1.58893462249174,-4.68276575919128,2.83029880309782e-06,5.77109557316591e-05
"g1441.t1.CDS3",61.0608887201688,4.17703912192918,0.895949886782206,4.66213477288442,3.12946133501256e-06,6.33769142471592e-05
"g1648.t1.CDS3",112.250918786192,2.40330309635982,0.515974534087468,4.65779401421468,3.19615770547459e-06,6.42902803324179e-05
"g3033.t1.CDS3",17.1929487399031,-5.81582204115712,1.25093177466801,-4.64919203343493,3.33237845443698e-06,6.65804742205295e-05
"g1377.t1.CDS2",96.8785974336267,3.34696136626567,0.721138926083569,4.6412157840968,3.46365188050457e-06,6.87419443217473e-05
"g1882.t1.CDS1",44.264896758371,4.91697579830626,1.06012965754424,4.63808908968389,3.51645216333681e-06,6.93276694718788e-05
"g1112.t1.CDS2",19.6265387206032,7.97823076028568,1.72344917906567,4.62922310515179,3.6704015403818e-06,7.17972210398461e-05
"g949.t1.CDS5",14.2878305759165,6.40360662015334,1.383629296974,4.62812303422458,3.68994787339485e-06,7.17972210398461e-05
"g1627.t1.CDS12",18.4902159697034,3.57979231799536,0.77553679167955,4.61588973779405,3.91414733499652e-06,7.48889440032641e-05
"g1627.t1.CDS14",45.3615513021247,3.3061603968125,0.716339940635221,4.61535118910267,3.92431147615358e-06,7.48889440032641e-05
"g2389.t1.CDS2",95.1234679619841,3.15592101139708,0.683787834154218,4.61535121533811,3.92431098039107e-06,7.48889440032641e-05
"g2394.t1.CDS4",66.7683115086596,-3.07516193440435,0.667233725798247,-4.60882268911898,4.04955492613381e-06,7.6786783535671e-05
"g2019.t1.CDS3",34.0637794323731,4.3214198794763,0.939192673188649,4.60120697577918,4.20049771593349e-06,7.91448208881899e-05
"g1226.t1.CDS1",130.014011687267,2.0788804474658,0.452842351486229,4.59073768308753,4.41682159905277e-06,8.26973452854094e-05
"g1652.t1.CDS7",10.553649220177,7.05103522082114,1.54079290315886,4.57623812153175,4.73411668278395e-06,8.75370519543343e-05
"g549.t1.CDS16",19.241094863929,5.50413034394656,1.2026171124008,4.57679363380966,4.72156812043947e-06,8.75370519543343e-05
"g535.t1.CDS1",10.1763496762266,-7.68651442358713,1.68120372803184,-4.57203032293155,4.83021017304903e-06,8.87625659578208e-05
"g3033.t1.CDS1",13.4333994162746,-6.72415339436577,1.4723023276399,-4.56710097384996,4.94515832488827e-06,9.03174008171312e-05
"g2360.t1.CDS9",155.820129114606,-2.81316247647541,0.616983690195012,-4.55954107244917,5.12655299945777e-06,9.3059440727962e-05
"g1147.t1.CDS3",294.074414796178,5.78478915920893,1.26985666881976,4.55546622012503,5.22695153765326e-06,9.37387634192395e-05
"g549.t1.CDS8",8.84849921445197,6.81718415434794,1.496101560359,4.55663193928632,5.19803924320581e-06,9.37387634192395e-05
"g2691.t1.CDS6",10.2016369202832,7.03480539045938,1.54534471309036,4.55225641946984,5.30735924647178e-06,9.46108292020747e-05
